Accession,Accession_all,Peptide count,Peptides used for quantitation,Confidence score,Anova (p),Max fold change,Highest mean condition,Lowest mean condition,Description,WT Cntl 1,WT Cntl 2,WT Cntl 3,WT Cntl 4,WT cold 1,WT cold 2,WT cold 3,WT cold 4,fum2 Cntl 1,fum2 Cntl 2,fum2 Cntl 3,fum2 Cntl 4,fum2 Cold 1,fum2 Cold 2,fum2 Cold 3,fum2 Cold 4,AVG WT Cont.,SE WT cont,AVG WT Cold,SE WT cold,AVG fum2 Cntl,SE fum2 cont,AVG fum2 Cold,SE fum2 cold,Pval WT ,F.C. WT,Pval fum2,F.C. fum2,Pval WT*fum2 Cold,F.C. WT Cold*fum2 Cold,Pval WT*fum2 Cntl,FC WT/fum2 Cntl,Pval fum2 Cold/ WT Cont. ,FC fum2 Cold/ WT Cont. ,Sig. change in WT or fum2?
AT2G32730,AT2G32730.1,20,7,490.1,0.039163153,1.566199015,fum2 cold,fum2 control,"26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit | chr2:13880189-13885464 FORWARD LENGTH=1004",47611.56098,54322.73532,43034.41845,42049.41248,79189.98512,84874.89401,96431.08417,94152.216,10328.67965,25351.08315,26693.01241,27705.48434,51451.85844,45023.51951,61160.70643,49957.88847,46754.53181,2798.65436,88662.04482,4026.602976,22519.56489,4092.132731,51898.49321,3379.093647,0.000140795,1.896330503,0.001465092,2.304595736,0.000425526,1.708374162,0.00274276,2.076173853,0.285475724,1.110020595,TRUE
AT2G20580,AT2G20580.1,31,11,653.46,0.109241676,1.564504086,WT control,WT cold,26S proteasome regulatory subunit S2 1A | chr2:8859211-8864699 FORWARD LENGTH=891,583489.2059,316914.3813,246135.1941,374428.2442,378749.5857,357615.2839,362017.8247,336157.2229,141584.9329,212429.2087,231926.3509,210739.1503,238288.0545,212727.1175,202498.4515,196294.3105,380241.7564,72651.13508,358634.9793,8767.032685,199169.9107,19787.77048,212451.9835,9254.3749,0.777744279,0.943176212,0.565464777,1.066687145,2.64013E-05,1.688075458,0.052951402,1.909132534,0.061857866,0.558728703,FALSE
AT4G24820,AT4G24820.1,14,9,454.43,0.02753493,1.254757479,WT cold,WT control,"26S proteasome, regulatory subunit Rpn7;Proteasome component (PCI) domain | chr4:12790471-12792599 REVERSE LENGTH=387",88030.93456,91853.92019,96371.27585,89198.85651,163749.5944,168427.806,172338.2018,160522.2127,53922.07737,52527.60458,48307.7275,51756.92328,83724.43575,78245.85703,81177.95233,79238.15275,91363.74678,1850.900783,166259.4537,2595.962555,51628.58318,1194.184125,80596.59947,1207.362776,3.90423E-07,1.819753016,2.59665E-06,1.561084858,9.24395E-08,2.062859411,1.86706E-06,1.76963498,0.002787923,0.882150769,TRUE
AT5G06290,AT5G06290.1,17,4,907.91,0.009227456,1.606702316,fum2 control,fum2 cold,2-cysteine peroxiredoxin B | chr5:1919380-1921211 FORWARD LENGTH=273,352301.4857,319784.7261,303253.0002,368707.2308,557876.3192,387545.8515,361660.1335,408348.4629,229758.0894,197749.0794,222307.0025,257302.5863,194695.3557,229254.1831,199517.763,203373.0553,336011.6107,14918.67383,428857.6918,44053.57976,226779.1894,12258.66817,206710.0892,7721.481622,0.092912694,1.276318074,0.21528015,0.911503784,0.002534565,2.074681954,0.001310509,1.481668629,0.000251879,0.615187341,FALSE
AT1G60950,AT1G60950.1,4,3,99.54,0.002582162,1.840961629,fum2 cold,WT control,2Fe-2S ferredoxin-like superfamily protein | chr1:22444565-22445011 FORWARD LENGTH=148,1687631.216,2169016.646,2648383.064,2373253.124,4477592.347,4010050.002,4372933.106,3747428.14,2430281.047,2013529.344,1554611.519,2678199.933,2865991.948,3550707.869,3107329.145,3595978.823,2219571.013,202693.0475,4152000.899,167990.5765,2169155.461,246508.3824,3280001.946,176621.8319,0.000326931,1.870632151,0.010540262,1.51211013,0.011680021,1.265853181,0.879660793,1.023242019,0.007586761,1.477763914,TRUE
AT4G14890,AT4G14890.1,7,6,283.01,0.248195497,1.739685674,WT cold,WT control,2Fe-2S ferredoxin-like superfamily protein | chr4:8520887-8521351 FORWARD LENGTH=154,4234.956704,70819.00016,107417.0558,37957.18766,121647.0718,144242.9337,146351.6579,124944.0228,39673.90872,33081.07094,37765.07734,47044.65915,41788.80954,43400.44595,47301.1376,42172.35212,55107.05008,22108.23704,134296.4215,6401.401133,39391.17904,2902.834317,43665.6863,1259.615415,0.013791288,2.437009808,0.225464094,1.108514327,8.66715E-06,3.075559619,0.507350588,1.398969298,0.623865352,0.79237931,TRUE
AT1G34430,AT1G34430.1,16,8,513.04,0.732780385,1.140180827,WT cold,fum2 control,2-oxoacid dehydrogenases acyltransferase family protein | chr1:12588027-12590084 REVERSE LENGTH=465,32329.80563,64197.23705,62102.3971,55686.17712,104718.979,83890.6877,84476.83359,69230.64643,17499.14595,30929.10204,32762.39073,33395.27261,52718.51013,41948.2609,51756.29993,42711.90023,53578.90423,7310.74388,85579.28669,7289.676666,28646.47783,3752.390042,47283.7428,2870.969273,0.021127507,1.597257128,0.007584165,1.650595339,0.002744032,1.809909318,0.022977562,1.870348758,0.453407623,0.882506716,TRUE
AT3G25860,AT3G25860.1,16,6,710.16,0.062192129,1.327238067,WT cold,WT control,2-oxoacid dehydrogenases acyltransferase family protein | chr3:9460632-9462585 FORWARD LENGTH=480,137889.6824,191349.0904,244323.4188,187421.1029,401313.0133,371276.837,324182.5598,349122.7416,126679.7349,133786.7182,131389.8954,130844.9121,187621.5287,172103.5843,183278.7171,161234.0899,190245.8236,21746.16455,361473.7879,16397.2754,130675.3151,1477.184224,176059.48,5924.804197,0.000753798,1.900035339,0.000305347,1.347304805,4.07366E-05,2.053134474,0.034047598,1.455866576,0.552272086,0.925431511,TRUE
AT2G25450,AT2G25450.1,10,6,218.51,0.352252044,1.416553635,fum2 cold,WT cold,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein | chr2:10830286-10831563 REVERSE LENGTH=359,79036.35493,38030.61279,38337.72228,38965.4714,52598.59955,64910.94282,82187.89978,88060.97826,52846.19955,22586.35252,20691.7037,21147.31812,57117.07438,45127.40428,60875.86996,63442.80754,48592.54035,10149.80259,71939.6051,8105.568074,29317.89347,7853.153729,56640.78904,4051.62768,0.122388171,1.480466026,0.021334067,1.931952891,0.142323589,1.270102453,0.18379457,1.657436282,0.489244471,1.165627247,TRUE
AT3G19010,AT3G19010.1,8,5,220.23,0.202834358,1.422568742,WT cold,WT control,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein | chr3:6556306-6557862 REVERSE LENGTH=349,208361.5034,366119.2934,350022.9822,274149.3753,569466.3871,586544.1428,682519.4517,619005.2368,57392.71471,225020.9254,182632.1323,204683.0362,287497.9899,327017.8503,340296.0495,375996.3453,299663.2886,36445.70741,614383.8046,24927.30298,167432.2021,37687.10251,332702.0587,18275.16988,0.000383872,2.050247154,0.007573511,1.987085247,9.80963E-05,1.846648641,0.045153538,1.789758988,0.44867779,1.110252979,TRUE
AT4G16770,AT4G16770.1,12,4,101.77,0.251477155,1.22808705,fum2 control,fum2 cold,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein | chr4:9434571-9437168 REVERSE LENGTH=325,12288.26842,10272.01647,9557.079893,10643.04342,13306.17834,14520.25876,11908.88502,12277.81497,8035.734661,4896.260518,5898.247352,4845.688196,6879.334519,6906.496311,7604.167211,7002.89453,10690.10205,578.4235054,13003.28427,585.7311551,5918.982682,746.0446017,7098.223143,170.7186653,0.030756372,1.21638542,0.174290854,1.19923026,6.97506E-05,1.831906945,0.002324205,1.806070844,0.00100267,0.663999568,TRUE
AT5G05600,AT5G05600.1,11,6,139.95,0.320259223,1.666413643,fum2 control,WT control,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein | chr5:1672266-1674602 FORWARD LENGTH=371,33704.29643,33683.45915,35762.19459,30827.68679,39378.27866,52300.32591,54386.18501,50869.45376,60213.5073,21238.63539,22652.13699,17314.86381,28042.61445,29614.60639,31413.46607,30732.45797,33494.40924,1013.82327,49233.56084,3363.496646,30354.78587,10016.7269,29950.78622,736.2392874,0.004191055,1.469903842,0.969219601,0.986690743,0.001380411,1.643815307,0.765710553,1.103430918,0.030027845,0.894202552,TRUE
AT3G55410,AT3G55410.1,26,9,673.35,0.451346133,1.233263419,fum2 control,WT control,"2-oxoglutarate dehydrogenase, E1 component | chr3:20541897-20545728 FORWARD LENGTH=1017",77950.66635,76935.25885,73625.18898,60399.15121,105144.3509,108271.5212,107525.378,112308.0291,65668.51703,41414.01843,39802.99533,47920.08569,59875.07262,59107.70411,62218.6986,70071.61712,72227.56635,4049.495811,108312.3198,1489.4815,48701.40412,5921.578113,62818.27311,2506.678418,0.000158914,1.499598079,0.070550469,1.289865749,4.38907E-06,1.724216767,0.016834082,1.483069485,0.095593932,0.869727118,TRUE
AT5G65750,AT5G65750.1,21,7,550.6,0.004036063,2.349231672,WT control,fum2 cold,"2-oxoglutarate dehydrogenase, E1 component | chr5:26304212-26307947 FORWARD LENGTH=1025",43367.74276,21775.56824,20925.61039,29158.05407,13154.60218,30008.16063,27426.95878,20832.02359,15252.92149,13704.99724,12909.83046,15252.42814,12254.06115,9317.1699,9281.59129,9333.390342,28806.74387,5193.712572,22855.4363,3766.747765,14280.04433,584.5358175,10046.55317,735.9154925,0.389407546,0.793405753,0.0040839,0.703537954,0.015661827,2.274953002,0.032021092,2.01727272,0.011694049,0.348756986,TRUE
AT5G36700,AT5G36700.1;AT5G36700.3,19,10,941.5,0.033966513,1.359232898,WT cold,fum2 cold,2-phosphoglycolate phosphatase 1 | chr5:14421929-14424430 REVERSE LENGTH=362,684999.3782,832781.4429,679144.2996,728467.7478,1189629.672,1134320.972,1037202.894,1134987.407,469555.6557,425029.8927,397532.956,392587.7365,418863.1751,502495.5736,411961.2128,510815.7898,731348.2171,35555.66092,1124035.236,31712.55273,421176.5602,17634.54449,461033.9378,26431.99702,0.000172365,1.536935772,0.256357133,1.094633418,3.70389E-06,2.438074823,0.000231595,1.736440928,0.000883232,0.630389091,TRUE
AT5G24490,AT5G24490.1,10,3,220.62,0.000106524,2.328197966,fum2 control,WT cold,"30S ribosomal protein, putative | chr5:8365690-8367178 FORWARD LENGTH=308",66776.28935,60873.18974,62267.20319,72083.92778,63161.49339,50510.25394,41680.50337,53099.1373,43732.58283,42326.9316,42490.08,56537.54492,26211.34488,37278.612,42738.37858,39608.79495,65500.15252,2530.404576,52112.847,4420.10043,46271.78484,3436.283548,36459.2826,3594.416996,0.039138686,0.795614132,0.095914587,0.787937676,0.033396385,1.42934373,0.004078508,1.415552755,0.000578596,0.556628973,TRUE
AT4G24770,AT4G24770.1,11,8,812.79,0.10826026,1.273375967,fum2 cold,WT control,31-kDa RNA binding protein | chr4:12766223-12767952 REVERSE LENGTH=329,617789.109,1060227.955,1177948.613,946910.4,1793081.92,1647762.252,1494807.781,1851965.97,671948.3563,577579.0337,618333.8015,680845.9438,972037.7197,958846.1489,999414.3309,945812.3922,950719.0192,120582.7261,1696904.481,79870.83317,637176.7838,24191.95388,969027.6479,11456.51946,0.002096644,1.784864346,1.68121E-05,1.520814431,0.000103907,1.75114145,0.043524419,1.492080445,0.884808286,1.019257665,TRUE
AT5G66120,AT5G66120.2;AT5G66120.1,17,7,324.79,0.040280435,1.425371633,WT cold,fum2 cold,"3-dehydroquinate synthase, putative | chr5:26431516-26433649 REVERSE LENGTH=442",27686.56744,59607.51009,48664.65279,48033.21214,89504.65781,101976.6714,101410.4608,74492.73677,31625.90979,24751.33679,30440.94609,30386.36086,37408.49728,36304.28025,35675.25837,33876.41174,45997.98562,6656.954088,91846.13168,6459.663566,29301.13838,1543.322336,35816.11191,739.159204,0.00259684,1.996742476,0.008892025,1.222345407,0.000134377,2.564380297,0.050240631,1.569836128,0.179281123,0.778645226,TRUE
AT4G33510,AT4G33510.1;AT4G33510.2,22,8,420.34,0.828392798,1.153204099,WT cold,WT control,3-deoxy-d-arabino-heptulosonate 7-phosphate synthase | chr4:16116496-16118549 FORWARD LENGTH=507,35327.60155,80133.69773,79921.98343,71426.43783,81851.53286,149476.2732,105402.5655,105401.5013,25884.49469,43926.61785,47203.36001,41427.45289,51774.27822,61077.60541,67041.30251,53891.85015,66702.43013,10653.05768,110532.9682,14118.12878,39610.48136,4725.682808,58446.25907,3488.752455,0.047921825,1.657105566,0.018444633,1.47552509,0.011620483,1.891189786,0.059071159,1.68395909,0.489201558,0.876223834,TRUE
AT4G39980,AT4G39980.1,21,7,415.01,0.019189914,3.176019339,WT cold,WT control,3-deoxy-D-arabino-heptulosonate 7-phosphate synthase 1 | chr4:18539654-18541832 FORWARD LENGTH=525,3436.254455,30036.5128,32101.94016,14321.40827,100317.4096,92539.96698,71594.42676,90764.44341,40279.39084,12015.50654,16403.65938,16280.08718,46803.32384,36311.41605,45945.32102,36270.06203,19974.02892,6793.317288,88804.06168,6100.060101,21244.66098,6426.381318,41332.53074,2916.156052,0.000282453,4.445976424,0.029316419,1.945549085,0.000416621,2.148527083,0.896362664,0.940190523,0.027725953,2.069313652,TRUE
AT5G46290,AT5G46290.1;AT5G46290.3,13,8,488.37,0.000598014,1.886529862,WT cold,fum2 cold,3-ketoacyl-acyl carrier protein synthase I | chr5:18774439-18776629 REVERSE LENGTH=473,174947.0049,236575.5994,258920.2231,328235.8389,440035.8801,431793.7342,426995.1975,401711.8744,95923.34776,116608.4449,128982.7621,133118.5504,136812.8369,118734.8026,128133.7315,118995.5963,249669.6666,31640.09453,425134.1715,8258.723235,118658.2763,8350.515555,125669.2418,4309.654012,0.001718537,1.702786636,0.483812426,1.059085348,6.02394E-08,3.38296122,0.007089943,2.104106636,0.00814017,0.50334205,TRUE
AT1G62640,AT1G62640.1,8,4,184.75,0.456859876,1.234806718,fum2 control,fum2 cold,3-ketoacyl-acyl carrier protein synthase III | chr1:23192502-23194737 FORWARD LENGTH=404,25977.66832,36814.92937,31179.4824,28151.91829,42775.21097,48408.12385,48396.49039,49070.42068,13475.83052,23396.422,20570.80908,23425.01788,25931.22329,22287.9171,27733.50747,21169.60615,30530.99959,2350.552363,47162.56147,1470.906108,20217.01987,2344.650822,24280.5635,1535.583361,0.00096621,1.544743444,0.197284519,1.200996173,3.80701E-05,1.942399791,0.020939194,1.510163208,0.067619821,0.795275747,TRUE
AT2G26250,AT2G26250.1,10,6,319.29,0.015765987,2.51577363,fum2 control,WT cold,3-ketoacyl-CoA synthase 10 | chr2:11170799-11173059 REVERSE LENGTH=550,32438.97802,22433.77732,25829.5551,12709.75463,14070.9782,11486.09255,5526.287398,22933.95022,18013.59559,7643.956825,13100.99509,13971.11035,10954.04044,16106.3626,26126.31459,22247.18557,23353.01627,4111.082219,13504.32709,3616.642941,13182.41446,2133.922335,18858.4758,3346.130353,0.122175051,0.578269074,0.202597993,1.430578279,0.318900762,0.71608794,0.070512224,1.771527996,0.429008785,0.807539188,FALSE
AT2G26930,AT2G26930.1,6,4,117.14,0.641382083,1.415138166,fum2 control,WT cold,4-(cytidine 5'-phospho)-2-C-methyl-D-erithritol kinase | chr2:11491829-11494229 REVERSE LENGTH=383,21921.12932,14172.54305,19372.34236,16948.70055,21200.47329,17098.0589,19685.40596,27582.65817,20430.90186,5558.498969,10629.9969,9778.504681,12482.1036,10390.71047,18318.98784,12292.92319,18103.67882,1657.564448,21391.64908,2230.682331,11599.4756,3145.675769,13371.18128,1715.544025,0.281518192,1.181618901,0.63855759,1.152740152,0.029176922,1.599832404,0.117110133,1.560732523,0.094516964,0.738589179,FALSE
AT1G72370,AT1G72370.1,18,5,573.8,0.015390413,1.695830124,WT cold,WT control,40s ribosomal protein SA | chr1:27243148-27244842 REVERSE LENGTH=298,27856.43901,40908.85221,47152.46258,36972.99278,83037.01955,122184.5777,72279.615,94251.43293,28632.7833,26825.62198,28551.37443,25478.71031,46185.26458,34680.29297,45612.96982,32316.70036,38222.68665,4041.216901,92938.16128,10731.12954,27372.12251,756.2833099,39698.80693,3614.005572,0.003089275,2.431492117,0.015640919,1.450337179,0.003320193,2.341081974,0.038583898,1.396409308,0.794539731,1.038618957,TRUE
AT4G34350,AT4G34350.1,19,11,311.61,0.121918726,4.416735238,fum2 control,WT control,4-hydroxy-3-methylbut-2-enyl diphosphate reductase | chr4:16428681-16431038 REVERSE LENGTH=466,41136.95365,86025.58651,109041.1788,64939.97254,156576.05,181294.9762,171726.5696,178934.7948,488060.4156,94098.71358,68496.83756,50403.31562,83450.14002,87524.29412,105019.8117,92439.77717,75285.92287,14514.21276,172133.0977,5570.682921,175264.8206,104649.7407,92108.50576,4679.688879,0.000791391,2.286391547,0.45753561,0.525539041,3.35663E-05,1.86880784,0.380525529,0.429555245,0.312241999,1.223449249,TRUE
AT5G60600,AT5G60600.1;AT5G60600.2;AT5G60600.3,33,25,1126.08,0.05400151,1.454486234,WT cold,WT control,4-hydroxy-3-methylbut-2-enyl diphosphate synthase | chr5:24359447-24363274 FORWARD LENGTH=741,147493.787,304196.9933,308444.7242,198867.0253,565397.2974,513468.3299,449649.2115,459203.8823,194046.9686,173127.1284,165962.3959,174081.3071,210129.6261,230281.1598,236172.2513,226099.7436,239750.6324,39848.67891,496929.6803,26801.77247,176804.45,6026.281252,225670.6952,5577.09585,0.001735879,2.072693929,0.001006601,1.276385833,6.10289E-05,2.202012449,0.169343688,1.356021483,0.738351079,0.941272575,TRUE
AT5G08530,AT5G08530.1,17,9,478.57,0.060342648,1.310426421,fum2 control,WT control,51 kDa subunit of complex I | chr5:2759848-2761726 REVERSE LENGTH=486,68129.40257,53363.60833,61393.57693,68779.80523,81501.59679,101878.8617,88786.78428,103341.0276,36576.22388,45610.05136,59050.23476,42581.58588,58583.42164,49943.44313,57616.7176,49258.74477,62916.59826,3595.48021,93877.06758,5265.125111,45954.52397,4751.714836,53850.58179,2465.330468,0.002834208,1.492087465,0.190654266,1.171823297,0.000463304,1.743287899,0.029312027,1.369105647,0.082781155,0.855904217,TRUE
AT1G62180,AT1G62180.1;AT1G62180.2,12,5,413.24,0.000244045,2.152987141,WT cold,WT control,5'adenylylphosphosulfate reductase 2 | chr1:22975794-22977465 REVERSE LENGTH=454,24098.52057,50111.60941,37223.92398,35076.68217,106498.2242,130319.4871,109682.0055,107574.558,27295.26554,19433.31633,22546.76833,26118.2892,55671.2989,57702.58216,53556.40002,41058.27178,36627.68403,5335.082704,113518.5687,5639.197478,23848.40985,1784.668219,51997.13821,3743.234381,6.11642E-05,3.099255978,0.000500181,2.180318879,9.95629E-05,2.183169547,0.063527924,1.535854351,0.056417807,1.419613049,TRUE
AT2G44050,AT2G44050.1,8,3,210.95,4.08E-08,2.951067426,fum2 control,fum2 cold,"6,7-dimethyl-8-ribityllumazine synthase / DMRL synthase / lumazine synthase / riboflavin synthase | chr2:18224304-18225917 FORWARD LENGTH=227",18316.11881,23053.6535,23182.09394,22176.9809,12950.34004,15607.6205,14618.39474,11704.56231,14447.62023,11908.63698,11670.66933,15970.77864,6589.106168,6571.015481,7009.358735,6836.586785,21682.21179,1144.038069,13720.2294,867.2076629,13499.42629,1036.083042,6751.516792,105.1496178,0.001451197,0.632787353,0.000641906,0.500133609,0.000206686,2.032169929,0.00182709,1.606158019,1.27824E-05,0.311385059,TRUE
AT1G01100,AT1G01100.1,4,3,130.08,0.01305995,1.670736223,fum2 cold,WT control,60S acidic ribosomal protein family | chr1:50284-50954 REVERSE LENGTH=112,170640.6755,162722.1651,142467.3426,99620.86309,208930.9391,247818.5222,181685.1284,196022.4523,94803.85051,168364.2554,104668.3489,132004.3104,212254.6267,185120.0524,200740.4352,180898.3264,143862.7616,15895.56162,208614.2605,14203.30422,124960.1913,16468.90037,194753.3602,7227.851089,0.022873562,1.450092145,0.008165077,1.558523224,0.417867433,1.071171559,0.440485663,1.151268736,0.026825719,1.353744069,TRUE
AT2G27720,AT2G27720.1,7,4,459.13,0.02687878,1.499148624,fum2 cold,WT cold,60S acidic ribosomal protein family | chr2:11818696-11819370 FORWARD LENGTH=115,23563.30852,30540.58906,38764.80309,31475.88642,39020.20514,40093.3776,54239.73627,46116.5483,15510.71938,12656.36238,26712.3903,29957.56108,39755.42513,33856.48574,37726.8187,37864.32678,31086.14677,3109.185163,44867.46683,3492.63554,21209.25829,4207.559048,37300.76409,1237.859026,0.02570594,1.443326738,0.010467396,1.758701958,0.087200842,1.202856508,0.107966572,1.465687595,0.112687058,1.199915974,TRUE
